Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 24.45      0.44     0.44 16210530     0.00     0.00  operator<(point const&, point const&)
  5.00      0.53     0.09  9449760     0.00     0.00  operator==(point const&, point const&)
  4.72      0.62     0.09 12637001     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_S_key(std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > > const*)
  3.33      0.68     0.06  1469181     0.00     0.00  std::map<point, std::vector<point, std::allocator<point> >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::operator[](point const&)
  3.33      0.74     0.06  1267560     0.00     0.00  point* std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, point*>(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, point*, __false_type)
  3.33      0.80     0.06     5020     0.01     0.31  grafo::insert(point)
  3.33      0.86     0.06 16210530     0.00     0.00  std::less<point>::operator()(point const&, point const&) const
  2.78      0.91     0.05  8197280     0.00     0.00  bool __gnu_cxx::operator!=<point const*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&)
  2.78      0.96     0.05  1469181     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::lower_bound(point const&)
  2.78      1.01     0.05  1262530     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > std::__find<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point const&, std::random_access_iterator_tag)
  2.50      1.05     0.05 12637001     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_S_value(std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > > const*)
  2.22      1.09     0.04  6987522     0.00     0.00  void std::_Construct<point, point>(point*, point const&)
  2.22      1.13     0.04  1272600     0.00     0.00  void std::__destroy_aux<point*>(point*, point*, __false_type)
  1.94      1.17     0.04  7034152     0.00     0.00  void std::_Destroy<point>(point*)
  1.67      1.20     0.03  2620636     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::difference_type __gnu_cxx::operator-<point const*, point const*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&)
  1.67      1.23     0.03  2537718     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::difference_type __gnu_cxx::operator-<point*, point*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&)
  1.67      1.26     0.03  1262530     0.00     0.00  operator!=(point const&, point const&)
  1.39      1.28     0.03 12462392     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::operator*() const
  1.39      1.31     0.03  7040476     0.00     0.00  point::~point()
  1.11      1.33     0.02 21648500     0.00     0.00  __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >::base() const
  1.11      1.35     0.02  3940682     0.00     0.00  std::vector<point, std::allocator<point> >::operator[](unsigned int)
  1.11      1.37     0.02  2620636     0.00     0.00  std::vector<point, std::allocator<point> >::size() const
  1.11      1.39     0.02  1469181     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::end()
  1.11      1.41     0.02                             main
  0.83      1.42     0.02  3900854     0.00     0.00  std::vector<point, std::allocator<point> >::begin() const
  0.83      1.44     0.02  3878439     0.00     0.00  std::allocator<point>::~allocator()
  0.83      1.45     0.02  1267560     0.00     0.00  point* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, point*, point>(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, point*, std::allocator<point>)
  0.56      1.46     0.01 11986702     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::__normal_iterator(point* const&)
  0.56      1.47     0.01  8382529     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::operator++()
  0.56      1.48     0.01  7050516     0.00     0.00  operator new(unsigned int, void*)
  0.56      1.49     0.01  6329614     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_S_right(std::_Rb_tree_node_base*)
  0.56      1.50     0.01  5151039     0.00     0.00  __gnu_cxx::new_allocator<point>::~new_allocator()
  0.56      1.51     0.01  5145999     0.00     0.00  __gnu_cxx::new_allocator<point>::new_allocator(__gnu_cxx::new_allocator<point> const&)
  0.56      1.52     0.01  2938352     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, std::vector<point, std::allocator<point> > > >::operator*() const
  0.56      1.53     0.01  2605839     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_get_Tp_allocator()
  0.56      1.54     0.01  1900599     0.00     0.00  std::_Select1st<std::pair<point const, double> >::operator()(std::pair<point const, double> const&) const
  0.56      1.55     0.01  1875567     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_key(std::_Rb_tree_node<std::pair<point const, double> > const*)
  0.56      1.56     0.01  1469201     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_M_begin()
  0.56      1.57     0.01  1469191     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, std::vector<point, std::allocator<point> > > >::operator==(std::_Rb_tree_iterator<std::pair<point const, std::vector<point, std::allocator<point> > > > const&) const
  0.56      1.58     0.01  1469181     0.00     0.00  std::map<point, std::vector<point, std::allocator<point> >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::lower_bound(point const&)
  0.56      1.59     0.01  1469181     0.00     0.00  std::map<point, std::vector<point, std::allocator<point> >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::end()
