what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234554658463
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1234554672479
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1234554672541
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1234554673026
started,bundle,org.eclipse.cdt.make.core,5.0.1.200809120802,org.eclipse.cdt.make.core,1234554692229
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1234554697135
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1234554754651
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1234554754698
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1234554754901
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1234554754948
started,bundle,org.eclipse.help.base,3.3.101.M20080728_34x,org.eclipse.help.base,1234554783182
started,bundle,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui,1234554783182
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1234554783791
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234554809698
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234554811557
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234554813229
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234554817120
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234554999073
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234555001682
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1234555007260
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1234555007260
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1234555007276
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1234555007338
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.2.R34x_v20080825,org.eclipse.equinox.p2.extensionlocation,1234555013729
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.2.R34x_v20080808-1156,org.eclipse.equinox.p2.artifact.repository,1234555014026
